article_id,count,language,publisher,full_text,headline,detected_locations,detected_persons
1000,0,English,abc,"American rapper Kanye West organised a special midnight Sunday Service in honour of National Basketball Association (NBA) star Kobe Bryant, who was killed in a helicopter crash in California.

 According to Fox News, Kanyes family, including wife Kim Kardashian, mother-in-law Kris Jenner and sister-in-law Kourtney Kardashian gathered in Burbank in California to pay tribute to Bryant and his daughter Gianna who died in the crash along with seven other passengers. Photographs from the Sunday Service were circulated on social media.

 Kanye took to his Twitter and posted a throwback snap with the basketball player.

 Kobe, We love you brother Were praying for your family and appreciate the life youve lived and all the inspiration you gave, Kanye said.

 His wife Kim also shared a series of videos from the service on her Instagram stories, that featured gospel singer Kirk Franklin and Chance the Rapper addressing the grieving crowd.

 Hours before attending the service, the Keeping up with the Kardashian star posted a picture of Bryant with his daughter on Instagram.

 My heart is so heavy. No one should ever experience what Vanessa is going through. This has affected us all so much but I cannot begin to imagine what Vanessa is feeling losing her husband and baby girl, Kim said in the post.

","Kim Kardashian, Kanye West honour Kobe Bryant at Sunday Service",California,Kobe Bryant
1001,0,Hindi,pqr,"Federal investigators on Monday sifted through the wreckage of the helicopter crash that killed basketball legend Kobe Bryant and eight other people, hoping to find clues to what caused the accident that stunned the world.

 Bryant, 41, was traveling on Sunday with his 13-year-old daughter Gianna and seven other passengers and crew when the Sikorsky S-76 slammed into a rugged hillside in thick fog in Calabasas, northwest of LA. There were no survivors.

 A five-time NBA champion for his only team, the LA Lakers, and a double Olympic gold medalist, Bryant was widely regarded as one of the greatest basketball players in history. He was traveling on his private helicopter from Orange County, where he lived, to his Mamba Sports Academy in Thousand Oaks where his daughter was set to play.

 Jennifer Homendy, a member of the National Transportation Safety Board, told a press conference that investigators would remain at the site of the crash throughout the week to collect evidence.

 “It was a pretty devastating accident scene,” she said, adding that the wreckage was strewn across about 600 feet (180 meters). “We will be here about five days on scene to collect perishable evidence. We are not here to determine the cause of the accident. We will not determine that on scene.”

 Homendy said the aircraft did not have a black box, which was not required on that type of helicopter.

 Los Angeles County Sheriff Alex Villanueva told reporters that it would “take a while” to recover the remains of the victims because of the force of the crash and the rugged terrain. He added that given the number of people trying to access the site unlawfully, his agency has had to resort to police on horseback or all terrain vehicles to secure the area.

 “We want to make sure everyone stays where they should be ... and keep everyone safe because the area is dangerous even in daytime because of the steepness of the terrain,” he said.

 Philippe Lesourd, a helicopter pilot and instructor who has been flying in California for 29 years, told AFP that the heavy fog likely caused the pilot to lose control of the aircraft. He said the pilot most probably suffered “spatial disorientation” after losing sight of the ground upon entering the clouds.

 The fog was heavy enough on Sunday that the Los Angeles Police Department and the sheriff’s office grounded their helicopters for part of the day. Witnesses told local media the helicopter appeared to be flying very low and seemed to struggle before it slammed into a hillside.

 Apart from Bryant and his daughter Gianna, the other passengers on the flight included baseball coach John Altobelli, his wife Keri and their daughter Alyssa, who played basketball at the same club as Gianna. Christina Mauser, an assistant coach of the Mamba girls’ basketball team, was also killed along with Sarah and Payton Chester, a mother and daughter.

 News of the crash reverberated across the globe and hundreds gathered at the Staples Center in downtown Los Angeles, where Bryant wowed fans for 20 years, placing flowers, candles and messages for their fallen hero.

 “It’s unbelievable that he is gone,” said Esmeralda Cisneros. “Everyone feels empty. California and LA feel empty without him.”

 Tributes have also flooded in from former US presidents, pop stars and athletes from different sports, a sign of how the man known as the “Black Mamba” had transcended basketball.

 The NBA announced that it had postponed Tuesday’s Lakers game against the Los Angeles Clipper in the wake of the tragedy.

 Bryant’s career began in 1996, straight out of high school. On top of his NBA championship wins, he helped the US squad of all-stars to Olympic titles in 2008 in Beijing and 2012 in London.

 Bryant bowed out of the NBA in 2016, scoring 60 points in a fairytale farewell appearance at the Staples Center. The son of former NBA player Joe “Jellybean” Bryant, the Lakers legend was born in Philadelphia while his father played for the 76ers.

 The elder Bryant played from 1984 to 1991 in Italy, giving young Kobe a global worldview as he grew up dreaming of following his dad into the NBA. He would eventually join the ranks of professionals at the age of 17, jumping directly into the NBA, only the sixth player to make such a leap.

 At 18, Bryant became, at the time, the youngest player or starter in an NBA game and the youngest winner of the NBA Slam Dunk Contest. With Bryant alongside Shaquille O’Neal, the Lakers captured three straight NBA crowns from 2000-2002, returning the team to glory days unseen since 1988.

 Bryant’s career was almost derailed in 2003 when he was arrested in Colorado over a sexual assault complaint filed by a 19-year-old hotel employee where Bryant was staying ahead of knee surgery. He admitted to adultery but denied an accusation of rape and the case was dropped in 2004 after the accuser refused to testify. A separate civil suit was settled under terms kept private.

 After his playing career, Bryant branched out into the entertainment industry. In 2018, he won an Oscar for his animated short film “Dear Basketball”, a love letter to the sport which brought him fame and fortune. The film was made available online for free on Monday.

",Federal investigators probe ‘devastating accident that killed Kobe Bryant and eight others,Hyderabad,Kim Kardasian
1002,0,Gujarati,xyz,"Fans compare Sara Ali Khan with Monica

 Sara Ali Khan is one such star kid who has become everyones favourite. Saif Ali Khan and Amrita Singhs daughter, Sara, dipped her toes into showbiz in 2018. But apart from impressing the audience with her on-screen performances, Sara has also won many hearts with her humble nature and has inspired many with her weight loss transformation. But Sara isnt one of those who shy from showing off those extra kilos. The diva often shares photos and videos from the time when she was on the heavier side.

 Taking a walk down the memory lane, Sara shared one such video today on Instagram. In the hilarious clip, she can be seen doing some mischief as her friends take a nap during their flight. With the song, Sar Jo Tera Chakraye playing in the background, Saras expressions in the video are unmissable.

 She captioned her post, Presenting Sara ka Sara Sara Let’s make ‘light’ of what it was... Let’s also make it lighter than what it was Video and transformation credit: @namratapurohit.

 Ever since Sara shared this video online, fans have been flooding her post with their comments. While some cant get over her cuteness, others are also praising the 24-year-old for her transformation. A few are also comparing her with Monica Geller of F.R.I.E.N.D.S. In the popular show, Monica also has a similar body transformation. Check out the comments below.

 Talking about movies, Sara was seen sharing screen space with Ranveer Singh in Rohit Shettys Simmba after making her debut with Kedarnath. The diva is currently busy with the promotions of her next with Kartik Aaryan. Titled Love Aaj Kal, the movie has been directed by Imtiaz Ali and is scheduled to hit the screens this Valentines Day.

 After this, Sara will be starring in David Dhawans Coolie No.1 alongside Varun Dhawan.

 Popular Videos

",Fans compare Sara Ali Khan with Monica from FRIENDS as she shares a throwback video,Bangalore,Kanye West
1003,0,Tamil ,abc,"SENSEX

 NIFTY 50

 Hang Seng

 Taiwan Weighted

 MCX GOLD  FEB   05

 MCX SILVER MAR   05

 USD/INR

 EUR/INR80.0630

 SENSEX

 NIFTY 50

 NIFTY MIDCAP 100

 S&P BSE MIDCAP

 Hang Seng

 Taiwan Weighted

 DAX

 Nasdaq

 MCX GOLD FEB   05

 MCX SILVER MAR   05

 MCX CRUDEOIL FEB   19

 MCX NATURALGAS JAN   28

 USD/INR

 EUR/INR

 GBP/INR

 JPY/INR

 Adani Ports 377.50 (-0.98%)

 Asian Paints 1776.05 (-0.69%)

 Axis Bank 743.20 (+0.40%)

 Bajaj Auto 3087.15 (+0.15%)

 Bajaj Finance 4221.95 (+1.38%)

 Bajaj Finserv 9630.00 (+0.76%)

 Bharti Airtel 502.85 (-2.25%)

 Bharti Infratel 237.45 (-1.82%)

 BPCL 476.00 (+1.76%)

 Britannia 3180.00 (+0.18%)

 Cipla 464.10 (-0.08%)

 Coal India 189.45 (-2.02%)

 Dr Reddys Labs 3231.65 (+1.35%)

 Eicher Motors 21091.95 (-0.02%)

 GAIL 125.90 (-0.67%)

 Grasim 818.30 (+0.64%)

 HCL Tech 593.75 (-1.75%)

 HDFC 2452.00 (+2.35%)

 HDFC Bank 1221.75 (+0.70%)

 Hero Motocorp 2492.30 (+1.49%)

 Hindalco 196.80 (-0.73%)

 HUL 2053.00 (-0.41%)

 ICICI Bank 536.00 (-0.23%)

 IndusInd Bank 1272.60 (+0.11%)

 Infosys 773.65 (-0.57%)

 IOC 117.35 (-0.09%)

 ITC 232.75 (-0.79%)

 JSW Steel 257.50 (-2.02%)

 Kotak Mahindra 1629.00 (+0.66%)

 Larsen 1341.80 (-0.5%)

 M&M 583.70 (+0.93%)

 Maruti Suzuki 7158.00 (+0.13%)

 Nestle 15450.00 (-1.38%)

 NTPC 111.30 (-1.63%)

 ONGC 116.00 (-1.07%)

 Power Grid Corp 190.10 (-1.5%)

 Reliance 1492.80 (-0.91%)

 SBI 317.10 (+0.28%)

 Sun Pharma 459.05 (+2.38%)

 Tata Motors 181.65 (-0.3%)

 Tata Steel 453.20 (-2%)

 TCS 2157.00 (-0.56%)

 Tech Mahindra 787.70 (-0.48%)

 Titan Company 1218.65 (+0.40%)

 UltraTechCement 4651.70 (-0.54%)

 UPL 542.25 (+0.93%)

 Vedanta 144.90 (-2.65%)

 Wipro 242.95 (-0.98%)

 Yes Bank 42.60 (+0.47%)

 Zee Entertain 277.75 (-0.43%)

 Adani Ports 377.50(-0.98%)

 Asian Paints 1776.05(-0.69%)

 Axis Bank 743.20(+0.40%)

 Bajaj Auto 3087.15(+0.15%)

 Updated : January 28, 2020 10:45 AM IST

 Growth in the individual loans was 16 percent and on a net basis was 14 percent.

 Demand for high value loans, higher ticket items is slowing down.

 HDFCs third quarter earnings showed signs of green shoot as assets under management (AUM) growth was the best in 3 quarters, while net interest margins (NIMs) remained stable.

 Sharing details of their third quarter performance, Keki Mistry, vice chairman and CEO, HDFC said, “Our individual loan approvals grew by 15 percent on a very large base and individual loan disbursements increased by 13 percent, so  in line with what one would have expected.

 With regards to AUM, he said growth in the individual loans was 16 percent and on a net basis, it was 14 percent. Non-performing loans (NPLs) were marginally up at 1.36 percent in December quarter compared to 1.33 percent  in September, so it was a 3 basis points (bps) increase, he stated.

 However, NIMs and spreads remained the same. NIMs in Q2 were 3.3 percent and in Q3 as well stood at 3.3 percent. Spreads at the end of Q2 were 2.26 percent and at the end of Q3 were 2.27 percent,” said Mistry.

 The only other significant feature of the loan was that the transition of Gruh into Bandhan happened during the course of this quarter because the National Company Law Tribunal (NCLT) approval happened now and therefore under the accounting rules, we had to mark-to-market (MTM) the Bandhan shares based on the share price, he said, adding that they cannot reflect it at cost price, the way we were reflecting the Gruh price. So, there is a MTM gain that gets recognised over here but on that MTM gain, we have created the deferred tax liability - in future, if we have to sell it, we have to pay tax, there is a deferred tax liability that is being created,” he further stated.

 Throwing further light on loan growth, he said, “Individual loans in the affordable housing segment continue to remain good. Our focus on affordable housing loans continues unabated. If you look at the breakdown of the lending we have done in this quarter, and the nine-month periods, it is almost the same.

 Have you signed up for Primo, our daily newsletter?

 It has all the stories and data on the market, business, economy and tech that you need to know.

 Subscribe

 THANK YOU! You made our day. See you every morning

 YOUR EMAIL IS ON ITS WAY. Check your inbox for future updates.

 call your Cable or DTH Operator and subscribe now for just Rs. 4 per month. You can also subscribe to CNBC-TV18 Prime HD for Re 1/- per month.

","Loan demand in low-ticket segment robust but slowing for high-end market, says HDFCs Keki Mistry",New York,Sara Ali Khan
1004,0,Telugu,xyz,"Follow us Now on Telegram ! Get daily 10 - 12 updates on Entertainment, Lifestyle, Sports And More. Join our Telegram Channel http://t.me/vishvatimes1

 Download Telegram App before Joining the Channel

 Star Indian squash player Saurav Ghosal suffered a straight-game defeat to top seed Fares Dessouky of Egypt in the final of the Pittsburgh Open squash tournament in the US.A win in the summit clash would have handed Ghosal his maiden Professional Squash Association (PSA) world tour event title.Ghosal lost 7-11, 4-11, 9-11 on Sunday night.Earlier, Ghosal had reached the final after a win over Egypts Omar Mossad 11-6, 16-18, 11-7, 12-10.

 A win in the summit clash would have handed Ghosal his maiden Professional Squash Association (PSA) world tour event title.

 Ghosal lost 7-11, 4-11, 9-11 on Sunday night.

 Earlier, Ghosal had reached the final after a win over Egypts Omar Mossad 11-6, 16-18, 11-7, 12-10.

 Download Vishva Times App – Live News, Entertainment, Sports, Politics & More

",Saurav Ghosal loses in Pittsburgh Open squash meet final,Manhattan,Saurav Ghosal
1005,0,English,abc,"ANI |  Updated: Jan 28, 2020 10:50  IST

 Jehanabad (Bihar) [India], Jan 28 (ANI): Jehanabad Police on Tuesday detained Muzammil Imam, the younger brother of, JNU student and one of the coordinators of the Shaheen Bagh protests, Sharjeel Imam.Muzammil was detained by the police team in the wee hours of Tuesday.The Crime Branch of Delhi Police on Sunday booked Imam, the co-ordinator of Shaheen Bagh protests, for his controversial cut off Assam from India speech that he allegedly made a few days ago.Imam has been slapped with charges of sedition and inciting enmity between communities under Sections 124A, 153A and 505 of the Indian Penal Code (IPC).Separately, a case has been registered against Imam by Uttar Pradesh Police for his controversial speech delivered during the students protest at Aligarh Muslim University on January 16 against the Citizenship Amendment Act (CAA) and National Register of Citizens (NRC).Assam Police too registered an FIR against Imam for allegedly inciting people by making a provocative speech.A series of videos have gone viral on social media in which Imam is heard saying: If we all come together, then we can separate the Northeast from India. If we cannot do it permanently, then at least for one to two months, we can do this.It is our responsibility to cut Assam from India. When this happens, only then the government will listen to us, he is heard saying further in the video. (ANI)

",Jehanabad Police detains Sharjeel Imams younger brother,Mumbai,Sharjeel Immams
1006,0,Telugu,xyz,"Follow us Now on Telegram ! Get daily 10 - 12 updates on Entertainment, Lifestyle, Sports And More. Join our Telegram Channel http://t.me/vishvatimes1

 Download Telegram App before Joining the Channel

 A last-gasp header from substitute Balwant Singh saw ATK pip NorthEast United 1-0 and go atop the Indian Super League table at the Vivekananda Yuba Bharati Krirangan here on Monday.The hosts created plenty of chances but were wasteful until an injury-time strike from substitute Balwant proved to be the difference. Despite his absence from the touchline, Antonio Habas side returned to the top of the table, level on points with FC Goa who also have 27 points from 14 matches. The Highlanders remained on ninth position with 11 points from as many games.In-form ATK striker Roy Krishna had the NorthEast defence on red alert early on with his dangerous runs off the ball. After a couple of unsuccessful runs down the right flank, Prabir Das delivered an excellent cross in his third try and it almost found Krishnas run into the box, until Kai Heering made a crucial interception to deny the Fijian a shot on target.The visitors had their first sight of the ATK goal minutes later. Having received the ball outside the box, midfielder Lalengmawia beat his marker, entered the box but sent his effort just wide.The tempo of the game slowed down after the early attempts at both ends. ATK looked more likely to open the scoring but couldnt find a way past an organised NorthEast defence.Both goalkeepers were called into action just before the break. Edu Garcia slid a clever through-ball into the box for Krishna in the 39th minute. The ATK strikers shot from a one-on-one situation was saved by Subhasish Roy Chowdhury with his feet. At the stroke of half-time, a Ninthoinganba Meetei cross met Martin Chaves whose header from inside the box forced a fingertip save from goalkeeper Arindam Bhattacharya.Robert Jarni hoped to gain a foothold in the game by bringing on Jose Leudo and Federico Gallego as the teams walked out for the second half, but the hosts continued to threaten. The influential Garcia once again sent a brilliant through-ball into the box, this time for Michael Soosairaj who ran in behind the defence and attempted to poke a finish into the net. With the keeper well beaten, Mislav Komorskis goalline clearance kept the scoreline intact.Defender Pritam Kotal was next in line to be presented with another big chance to score in the 68th minute. A Javier Hernandez free-kick caused chaos inside the box and the ball looped towards Kotal whose strike flew over the bar.There were chances for both teams to settle the matter towards the end. Nikhil Kadams through ball almost sent Gallego through on goal but for Arindams quick intervention. At the other end, Mislav Komorski came up with two crucial interventions to deny Krishna and Prabir Das.Just when it looked like the teams would have to share the spoils, substitute Balwant Singh produced a match-winner in the last of the four added minutes. The striker, who came off the bench for Edu Garcia in the 90th minute and was left unmarked inside the box for a Hernandez corner-kick, headed the ball into the net to the delight of the home crowd.

 The hosts created plenty of chances but were wasteful until an injury-time strike from substitute Balwant proved to be the difference. Despite his absence from the touchline, Antonio Habas side returned to the top of the table, level on points with FC Goa who also have 27 points from 14 matches. The Highlanders remained on ninth position with 11 points from as many games.

 In-form ATK striker Roy Krishna had the NorthEast defence on red alert early on with his dangerous runs off the ball. After a couple of unsuccessful runs down the right flank, Prabir Das delivered an excellent cross in his third try and it almost found Krishnas run into the box, until Kai Heering made a crucial interception to deny the Fijian a shot on target.

 The visitors had their first sight of the ATK goal minutes later. Having received the ball outside the box, midfielder Lalengmawia beat his marker, entered the box but sent his effort just wide.

 The tempo of the game slowed down after the early attempts at both ends. ATK looked more likely to open the scoring but couldnt find a way past an organised NorthEast defence.

 Both goalkeepers were called into action just before the break. Edu Garcia slid a clever through-ball into the box for Krishna in the 39th minute. The ATK strikers shot from a one-on-one situation was saved by Subhasish Roy Chowdhury with his feet. At the stroke of half-time, a Ninthoinganba Meetei cross met Martin Chaves whose header from inside the box forced a fingertip save from goalkeeper Arindam Bhattacharya.

 Robert Jarni hoped to gain a foothold in the game by bringing on Jose Leudo and Federico Gallego as the teams walked out for the second half, but the hosts continued to threaten. The influential Garcia once again sent a brilliant through-ball into the box, this time for Michael Soosairaj who ran in behind the defence and attempted to poke a finish into the net. With the keeper well beaten, Mislav Komorskis goalline clearance kept the scoreline intact.

 Defender Pritam Kotal was next in line to be presented with another big chance to score in the 68th minute. A Javier Hernandez free-kick caused chaos inside the box and the ball looped towards Kotal whose strike flew over the bar.

 There were chances for both teams to settle the matter towards the end. Nikhil Kadams through ball almost sent Gallego through on goal but for Arindams quick intervention. At the other end, Mislav Komorski came up with two crucial interventions to deny Krishna and Prabir Das.

 Just when it looked like the teams would have to share the spoils, substitute Balwant Singh produced a match-winner in the last of the four added minutes. The striker, who came off the bench for Edu Garcia in the 90th minute and was left unmarked inside the box for a Hernandez corner-kick, headed the ball into the net to the delight of the home crowd.

 Download Vishva Times App – Live News, Entertainment, Sports, Politics & More

",ISL: Balwant Singhs injury-time winner helps ATK reclaim top spot,Boston,Balwant Singh
1007,0,Gujarati,pqr,"What auto industry should expect from Budget 2020

 The entire country is anticipating Budget 2020, which will be presented by the government of India on 1 February. And it goes without saying that various industries have their individual set of expectations from it, but well focus on the automotive industry for obvious reasons. So, one of the most pertinent question on most citizens minds is if cars and bikes will become expensive after Union Budget 2020 is announced. And while we can never say for sure, but we can tell you that the government isnt expected to announce any policy measures that would result in cars and bikes prices in India going up.

 But the lack of any announcements that could make cars, scooters, and bikes expensive doesnt necessarily spell good news. You see, the automotive industry is still struggling with the notorious sales slowdown of 2019. And if that wasnt enough, the industry has another challenge to contend with: price hike due to BS 6. The updates necessitated due to the transition to the new emission norms has taken quite a bit of toll on vehicle prices in the country. And to help take the edge off, the Society of Indian Automobile Manufacturers (SIAM) has requested the government to announce a reduction in GST for BS 6 vehicles and also bring in an incentive-based vehicle scrappage policy among other things.

 Rajan Wadhera, President of the Society of Indian Automobile Manufacturers (SIAM), said, As SIAM we have urged the Finance Ministry to consider announcing an incentive based Scrappage Policy and also increase budget allocation for ICE bus procurement by state transport undertakings. Increased cost of BSVI may effect demand, hence we have also requested Government to reduce GST rates for BSVI vehicles effective 1st April from 28% to 18%.

 Both the reduction in GST and a proper vehicle scrappage policy arent new demands; nonetheless, we dont believe a reduction in GST for BS 6 cars and bikes and other vehicles is on the horizon. And as far as Indias vehicle scrappage policy is concerned -- we wouldnt get our hopes up about that one either because we havent heard about any progress in the matter ever since the Union Ministry of Road Transport and Highways issued draft guidelines for setting up authorized vehicle scrappage centres in India. Given that pace, we may have to wait a few more years till we get something concrete in this regard.

 Recommended Videos

",What auto industry should expect from Budget 2020,Hyderabad,Kim Kardasian
1008,0,Telugu,pqr,"ANI |  Updated: Jan 28, 2020 10:42  IST

 New Delhi [India], Jan 28 (ANI): The ongoing protests at Shaheen Bagh will come to an end within one hour if BJP forms the government in Delhi, claimed BJP MP Parvesh Verma on Tuesday.If the BJP forms government on February 11, not a single person will be found at (the protest site) Shaheen Bagh, Verma said during a meeting at Vikaspuri assembly constituency.If our government is formed, then give me just a month after February 11, and I will remove all mosques built on government land in my Lok Sabha constituency, the BJP parliamentarian added..Lakhs of people gather there (Shaheen Bagh). People of Delhi will have to think and take a decision. They will enter your houses, rape your sisters and daughters, and kill them. Theres time today, Modiji (Prime Minister Narendra Modi) and Amit Shah will not come to save you tomorrow. It will be a whole lot better if the people of Delhi wake up today, Verma told ANI.The BJP MP from West Delhi alleged that the Shaheen Bagh protesters could harm residents to Delhi and urged people to wake up while theres time.Arvind Kejriwal says he is with Shaheen Bagh and so does Manish Sisodia. The people know that a fire engulfed Kashmir in which their mothers and sisters were raped. This happened in Kerala, Uttar Pradesh, Hyderabad, Verma said.Protests have been ongoing in different parts of the country, including Shaheen Bagh in the national capital, against the amended Citizenship Act (CAA) which grants citizenship to Hindus, Sikhs, Jains, Parsis, Buddhists and Christians fleeing religious persecution from Pakistan, Afghanistan, and Bangladesh if they entered India on or before December 31, 2014. (ANI)

","Will clear Shaheen Bagh within one hour if BJP forms govt in Delhi, says Parvesh Verma",Boston,Kim Kardasian
1009,0,Gujarati,xyz,"Follow us Now on Telegram ! Get daily 10 - 12 updates on Entertainment, Lifestyle, Sports And More. Join our Telegram Channel http://t.me/vishvatimes1

 Download Telegram App before Joining the Channel

 Top tennis players Rafael Nadal and Nick Kyrgios paid tributes to Kobe Bryant, the NBA legend who died in a helicopter crash on Sunday, during their fourth-round clash at the Australian Open.Kyrgios, a basketball fan, was close to tears as he walked onto Rod Laver Arena here wearing an LA Lakers jersey with Bryants name on the back.Nadal edged ahead of Australias Kyrgios 6-3, 3-6, 7-6 (8-6), 7-6, (7-4) to enter the quarterfinals but a pall of gloom descended after the game as the pair spoke about the five-time NBA champion and 18-time All-Star.What can I say, I woke up this morning with this terrible news, Nadal was quoted as saying by CNN in his on-court interview with tennis great John McEnroe.Its super sad. He was one of the greatest sportsmen in history. He deserves a big round of applause. Its one of these days that you want to forget but of course Kobe Bryant will be in our hearts and in our minds for the rest of our lives, he added.Kyrgios also wore a Lakers jersey during his post-match press conference as he reflected on Bryants legacy. I never met Kobe but basketballs practically my life, I watch it every day and Ive been following it for as long as I remember... its tough, its horrible news, he was quoted as saying by CNN.If anything, it motivated me (during the game). If you look at the things he stood for and what he wanted to be remembered by, I felt like if anything it helped me tonight. When I was down a break in the fourth set I was definitely thinking about it and I fought back, Kyrgios said.Bryant and his 13-year-old daughter died in a helicopter crash in Southern California on Sunday night, sending shockwaves through the sporting world and beyond. He was 41.

 Kyrgios, a basketball fan, was close to tears as he walked onto Rod Laver Arena here wearing an LA Lakers jersey with Bryants name on the back.

 Nadal edged ahead of Australias Kyrgios 6-3, 3-6, 7-6 (8-6), 7-6, (7-4) to enter the quarterfinals but a pall of gloom descended after the game as the pair spoke about the five-time NBA champion and 18-time All-Star.

 What can I say, I woke up this morning with this terrible news, Nadal was quoted as saying by CNN in his on-court interview with tennis great John McEnroe.

 Its super sad. He was one of the greatest sportsmen in history. He deserves a big round of applause. Its one of these days that you want to forget but of course Kobe Bryant will be in our hearts and in our minds for the rest of our lives, he added.

 Kyrgios also wore a Lakers jersey during his post-match press conference as he reflected on Bryants legacy. I never met Kobe but basketballs practically my life, I watch it every day and Ive been following it for as long as I remember... its tough, its horrible news, he was quoted as saying by CNN.

 If anything, it motivated me (during the game). If you look at the things he stood for and what he wanted to be remembered by, I felt like if anything it helped me tonight. When I was down a break in the fourth set I was definitely thinking about it and I fought back, Kyrgios said.

 Bryant and his 13-year-old daughter died in a helicopter crash in Southern California on Sunday night, sending shockwaves through the sporting world and beyond. He was 41.

 Download Vishva Times App – Live News, Entertainment, Sports, Politics & More

","Rafael Nadal, Nick Kyrgios pay tributes to Bryant after Aus Open match",Manhattan,Sara Ali Khan
